PeopleHistoricalId,area,full_name_4,full_name_5,full_name_6,full_name_7,FunctionType,Layer,Organization,RoleSummary,Role_identifier
09a69926-8875-35d7-7735-6e4bef899d761771113600,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761771718400,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761772323200,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761772928000,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761773532800,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761774137600,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761774742400,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761775347200,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761775952000,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761776556800,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761777161600,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761777766400,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761778371200,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761778976000,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761779580800,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761780185600,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
09a69926-8875-35d7-7735-6e4bef899d761780790400,Canada,Saoirse Fenwick,Nina Nwosu,Amara Moretti,Sasha Thornbury,Applied Sciences,5,Amara Kelleher,APPLIED SCIENTIST IC,IC
